y_test,predicted_prob_rf,predicted_prob_xgboost
0,0.282176335,0.284968674
0,0.074229098,0.090470821
0,0.083144422,0.101926312
0,0.116433656,0.105846927
1,0.355654698,0.168968081
0,0.173817483,0.128411874
0,0.094996586,0.11059019
0,0.046734567,0.068606064
0,0.125546628,0.12710692
0,0.169711906,0.16474992
0,0.044829412,0.038562037
0,0.15936096,0.092093438
0,0.013555969,0.028103141
0,0.086189308,0.118597738
0,0.053169231,0.101793021
1,0.381623965,0.328709155
0,0.142348194,0.157743365
0,0.15400466,0.178850845
0,0.265167363,0.254627883
0,0.100164574,0.091714464
0,0.129323907,0.093180805
0,0.112888516,0.081833683
0,0.028512834,0.062638931
0,0.273871233,0.269538283
0,0.121557074,0.079632729
0,0.362524013,0.309970737
0,0.058686645,0.046091437
0,0.009187737,0.029679831
0,0.010188107,0.017089266
0,0.01133909,0.033481386
0,0.07813912,0.042232011
0,0.185923051,0.155448347
1,0.468411189,0.501894057
0,0.021528518,0.047540661
0,0.224032197,0.27797091
1,0.095687488,0.091274075
0,0.449234142,0.454799324
0,0.389531877,0.325140595
0,0.12981083,0.115942337
0,0.118738399,0.108395658
0,0.343785507,0.223994687
0,0.182654225,0.135490656
0,0.297137045,0.304349393
1,0.232340553,0.232058391
0,0.105604561,0.11871887
0,0.211969875,0.196842656
1,0.383322312,0.47921133
0,0.067027111,0.06235379
0,0.189649332,0.145946011
0,0.171964124,0.136250809
0,0.147295854,0.128884494
0,0.331920022,0.410804331
0,0.125040881,0.141869143
1,0.722151248,0.854027212
1,0.338765446,0.362333238
0,0.178390762,0.138816625
0,0.133200663,0.149339885
0,0.079620974,0.13581489
0,0.4218106,0.322259068
0,0.338644782,0.328622282
0,0.203853172,0.120038979
0,0.225471112,0.19442983
0,0.141452445,0.131039292
